order_id,order_ts,store_id,product_id,quantity,unit_price,discount_pct,status
O00200,2026-07-05 14:59:53,S003,P002,1,5000,0,COMPLETED
O00201,2026-07-10 19:20:36,S002,P006,1,7500,0,COMPLETED
O00202,2026-07-13 15:44:29,S002,P006,1,7500,0,COMPLETED
O00203,2026-07-10 21:49:21,S003,P003,2,5500,0,COMPLETED
O00204,2026-07-01 14:22:19,S002,P006,1,7500,0,COMPLETED
O00205,2026-07-11 19:21:25,S001,P001,1,4500,,COMPLETED
O00206,2026-07-05 14:35:08,S002,P001,1,4500,10,COMPLETED
O00207,2026-07-13 18:26:27,S001,P007,2,3000,20,CANCELLED
O00208,2026-07-10 12:22:28,S002,P006,1,7500,10,COMPLETED
O00209,2026-07-04 15:26:44,S003,P001,3,4500,0,COMPLETED
O00210,2026-07-06 14:24:11,S002,P003,2,5500,0,COMPLETED
O00211,2026-07-10 09:56:42,S002,P001,1,4500,20,CANCELLED
O00212,2026-07-13 09:35:57,S002,P003,2,5500,0,COMPLETED
O00213,2026-07-03 20:21:26,S002,P001,1,4500,0,COMPLETED
O00214,2026-07-04 08:43:36,S002,P002,1,5000,20,COMPLETED
O00215,2026-07-06 12:28:19,S002,P001,1,4500,0,completed
O00216,2026-07-12 15:49:01,S003,P007,1,3000,0,COMPLETED
O00217,2026-07-03 21:01:41,S001,P001,1,4500,0,COMPLETED
O00218,2026-07-02 10:35:40,S002,P001,2,4500,0,COMPLETED
O00219,2026-07-01 21:11:53,S001,P002,1,5000,0,COMPLETED
O00220,2026-07-03 19:32:19,S001,P004,3,4800,0,COMPLETED
O00221,2026-07-02 12:31:35,S001,P001,1,4500,0,COMPLETED
O00222,2026-07-05 08:24:46,S003,P007,1,3000,20,COMPLETED
O00223,2026-07-09 10:11:02,S001,P005,1,5500,0,CANCELLED
O00224,2026-07-01 15:12:26,S002,P007,1,3000,0,COMPLETED
O00225,2026-07-03 16:26:25,S003,P004,2,4800,10,COMPLETED
O00226,2026-07-11 12:11:10,S003,P007,2,3000,0,COMPLETED
O00227,2026-07-14 21:10:21,S003,P001,1,4500,10,COMPLETED
O00228,2026-07-04 11:46:47,S002,P003,2,5500,0,COMPLETED
O00229,2026-07-11 21:37:08,S001,P001,1,4500,0,COMPLETED
O00230,2026-07-14 08:03:20,S002,P006,1,7500,30,CANCELLED
