term_id,term,aliases,definition,metric_or_field,resolution_rule,example_question,updated_at,search_text
G001,매출,판매액|매상|revenue,완료 주문의 할인 적용 후 금액인 순매출을 기본 의미로 사용한다.,net_sales,총매출 또는 할인 전이라는 표현이 없으면 net_sales를 사용한다.,매장별 매출을 알려줘,2026-08-10,용어: 매출. 별칭: 판매액|매상|revenue. 정의: 완료 주문의 할인 적용 후 금액인 순매출을 기본 의미로 사용한다. 적용 규칙: 총매출 또는 할인 전이라는 표현이 없으면 net_sales를 사용한다.
G002,총매출,할인 전 매출|gross sales,할인 적용 전 상품금액의 합계다.,gross_sales,quantity × unit_price를 합산한다.,전체 총매출은 얼마야?,2026-08-10,용어: 총매출. 별칭: 할인 전 매출|gross sales. 정의: 할인 적용 전 상품금액의 합계다. 적용 규칙: quantity × unit_price를 합산한다.
G003,순매출,실매출|결제매출|net sales,할인 적용 후 완료 주문의 매출이다.,net_sales,gross_sales에서 discount_amount를 차감한다.,강남점 순매출 알려줘,2026-08-10,용어: 순매출. 별칭: 실매출|결제매출|net sales. 정의: 할인 적용 후 완료 주문의 매출이다. 적용 규칙: gross_sales에서 discount_amount를 차감한다.
G004,할인액,할인 금액|discount,총매출에서 순매출을 뺀 금액이다.,discount_amount,할인율 자체와 혼동하지 않는다.,할인액이 가장 큰 매장은?,2026-08-10,용어: 할인액. 별칭: 할인 금액|discount. 정의: 총매출에서 순매출을 뺀 금액이다. 적용 규칙: 할인율 자체와 혼동하지 않는다.
G005,주문수,주문 건수|결제 건수|건수,완료 주문의 고유 order_id 개수다.,order_count,COUNT(DISTINCT order_id)를 사용한다.,날짜별 주문수 보여줘,2026-08-10,용어: 주문수. 별칭: 주문 건수|결제 건수|건수. 정의: 완료 주문의 고유 order_id 개수다. 적용 규칙: COUNT(DISTINCT order_id)를 사용한다.
G006,판매수량,판매량|개수|잔수,완료 주문의 quantity 합계다.,item_quantity,주문수와 구분한다.,가장 많이 팔린 메뉴는?,2026-08-10,용어: 판매수량. 별칭: 판매량|개수|잔수. 정의: 완료 주문의 quantity 합계다. 적용 규칙: 주문수와 구분한다.
G007,객단가,주문단가|평균 결제금액|AOV,순매출을 주문수로 나눈 평균 주문금액이다.,avg_order_value,net_sales ÷ order_count로 계산한다.,매장별 객단가 비교해줘,2026-08-10,용어: 객단가. 별칭: 주문단가|평균 결제금액|AOV. 정의: 순매출을 주문수로 나눈 평균 주문금액이다. 적용 규칙: net_sales ÷ order_count로 계산한다.
G008,인기메뉴,베스트 메뉴|잘 팔리는 메뉴|인기 상품,매출 기준 또는 판매수량 기준이 될 수 있는 다의어다.,net_sales 또는 item_quantity,기준이 없으면 매출 기준인지 판매수량 기준인지 되묻는다.,인기메뉴가 뭐야?,2026-08-10,용어: 인기메뉴. 별칭: 베스트 메뉴|잘 팔리는 메뉴|인기 상품. 정의: 매출 기준 또는 판매수량 기준이 될 수 있는 다의어다. 적용 규칙: 기준이 없으면 매출 기준인지 판매수량 기준인지 되묻는다.
G009,손님수,고객수|방문객수|방문자,현재 데이터에는 고객 식별자나 방문객 정보가 없다.,지원하지 않음,주문수 또는 판매수량 중 무엇을 의미하는지 되묻는다.,손님이 가장 많은 매장은?,2026-08-10,용어: 손님수. 별칭: 고객수|방문객수|방문자. 정의: 현재 데이터에는 고객 식별자나 방문객 정보가 없다. 적용 규칙: 주문수 또는 판매수량 중 무엇을 의미하는지 되묻는다.
G010,피크타임,붐비는 시간|바쁜 시간|피크 시간대,순매출이 가장 높은 시간대를 의미한다.,daypart + net_sales,시간대별 순매출을 비교한다.,피크타임이 언제야?,2026-08-10,용어: 피크타임. 별칭: 붐비는 시간|바쁜 시간|피크 시간대. 정의: 순매출이 가장 높은 시간대를 의미한다. 적용 규칙: 시간대별 순매출을 비교한다.
